"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount"
"Summit Assist LLP","","","","","","","","","","4383-05042019-5900","C4X Discovery Limited"," 2019-04-08"," 2019-04-08","","","C4X Discovery Limited","1","765","","200","20% (VAT on income)",""
"PM+M Solutions for Business LLP","","","","","","","","","","4392-01052019-5931","McPherson's (UK) Limited"," 2019-05-08"," 2019-05-08","","","McPherson's (UK) Limited","1","225","","200","20% (VAT on income)",""
"Thomas Alexander & Co","","","","","","","","","","4393-07052019-5935","Amana Financial Services UK Limited"," 2019-05-14"," 2019-05-14","","","Amana Financial Services UK Limited","1","540","","200","20% (VAT on income)",""
"Summit Assist LLP","","","","","","","","","","4394-09052019-5944","C4X Discovery PLC Solus"," 2019-05-16"," 2019-05-16","","","C4X Discovery PLC Solus","1","420","","200","20% (VAT on income)",""
"BTPSM","","","","","","","","","","4395-09052019-5947","BTPSM Limited"," 2019-05-16"," 2019-05-16","","","BTPSM Limited","1","298.2","","200","20% (VAT on income)",""
"BTPSM","","","","","","","","","","4396-09052019-5948","BTPSA"," 2019-05-16"," 2019-05-16","","","BTPSA","1","255.6","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4397-10052019-5954","World Snooker"," 2019-05-13"," 2019-05-13","","","World Snooker","1","510","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4398-10052019-5955","WPBSA"," 2019-05-13"," 2019-05-13","","","WPBSA","1","510","","200","20% (VAT on income)",""
"Matchroom Sport Ltd","","","","","","","","","","4399-10052019-5956","World Snooker Holding"," 2019-05-13"," 2019-05-13","","","World Snooker Holding","1","510","","200","20% (VAT on income)",""
"Argent (Property Development) Services LLP","","","","","","","","","","4400-14052019-5889","Metropolitan King's Cross Limited"," 2019-04-05"," 2019-04-05","","","Metropolitan King's Cross Limited","1","207.08","","200","20% (VAT on income)",""
"Argent (Property Development) Services LLP","","","","","","","","","","4401-15052019-5889","Metropolitan King's Cross Limited"," 2019-04-05"," 2019-04-05","","","Metropolitan King's Cross Limited","1","207.08","","200","20% (VAT on income)",""
"Argent (Property Development) Services LLP","","","","","","","","","","4402-15052019-5889","Metropolitan King's Cross Limited"," 2019-04-05"," 2019-04-05","","","Metropolitan King's Cross Limited","1","207.08","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4406-15052019-5975","BRITEL REAL ESTATE INTERNATIONAL (UK) GP LIMITED"," 2019-05-24"," 2019-05-24","","","BRITEL REAL ESTATE INTERNATIONAL (UK) GP LIMITED","1","255.6","","200","20% (VAT on income)",""
"Hermes Real Estate Investment Management Limited","","","","","","","","","","4407-16052019-5977","Hermes Private Debt I GP Limited"," 2019-05-27"," 2019-05-27","","","Hermes Private Debt I GP Limited","1","255.6","","200","20% (VAT on income)",""
